Citation,,,Sample,,,Flow,,,,,,,,,,,Outputs,,,,,Info
Article ,Authors,DOI,"Geometry of Sample (flat, wire, or Cylindrical)","Dimensions of sample (Wire is in diameter, cylinder is in radius x length, rectangle is in L x W x H)",Material of sample,Oxygen Concentration,Pressure,Flow Velocity (Co flow is + and counter flow is -),Rig Name,"Internal geometry (Cylindrical , rectangular)",Internal Dimensions ,Gravity (g/gearth),"Expireimental facility (Parabolic Aircraft, Drop Tower, Spacecraft, Sounding Rocket, Ground)","Ignition method (Wire, open flame, or Radiative Heater",Ignition power (W),Ignition time (s),Ignition (Yes/No),Flame Length,FSR (Flame Spread Rate),HRR (Heat release rate),Smoke/ Areosols (yes/no),
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 0.8 mm outer,Cu core; LDPE outer,15.0%,101.3 kPa,-60,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-60,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,1.9,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.6,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-60,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,4.2,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-60,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,5.2,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,20.0%,101.3 kPa,-60,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,19.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,19.0%,101.3 kPa,-60,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,3.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,19.0%,101.3 kPa,-60,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,4.2,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,1.2,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,3.6,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-60,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,3.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-60,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,1.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-60,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-60,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-60,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-150,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,2,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-150,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,3,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-150,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,4.2,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,21.0%,101.3 kPa,-150,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,5.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,20.0%,101.3 kPa,-150,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,4.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,19.0%,101.3 kPa,-150,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.7,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,19.0%,101.3 kPa,-150,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,3.6,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,19.0%,101.3 kPa,-150,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,4.6,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-150,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,1.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-150,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.4,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-150,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,3.5,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,18.0%,101.3 kPa,-150,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,3.8,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-150,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-150,,,190 mm,0.16,Parabolic aircraft,Wire,94 W,8 s,Yes,,1.4,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-150,,,190 mm,0.38,Parabolic aircraft,Wire,94 W,8 s,Yes,,2.4,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-150,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,Yes,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,17.0%,101.3 kPa,-150,,,190 mm,1,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-150,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,Yes,,,,,
"Konno, Yusuke, et al. ""Experimental study on downward/opposed flame spread and extinction over electric wires in partial gravity environments."" Proceedings of the Combustion Institute 39.3 (2023): 3785-3794.","Yusuke Konno, Yutao Li, Jean-Marie Citerne, Guillaume Legros, Augustin Guibaud, Nozomu Hashimoto, Osamu Fujita",https://doi.org/10.1016/j.proci.2022.07.002,Wire,0.5mm core; 1.1 mm outer,Cu core; LDPE outer,16.0%,101.3 kPa,-150,,,190 mm,0,Parabolic aircraft,Wire,94 W,8 s,No,,,,,
